Year,Units,Value
2015,Porcentaje,0.21
2016,Porcentaje,0.33
2017,Porcentaje,0.2
2018,Porcentaje,0.16
2019,Porcentaje,0.14
2020,Porcentaje,0.27
2021,Porcentaje,0.19
