Year,Sexo,Units,Value
2015,Hombres,Tasa por 100.000,23.7
2015,Mujeres,Tasa por 100.000,12.2
2015,,Tasa por 100.000,17.2
2016,Hombres,Tasa por 100.000,20.5
2016,Mujeres,Tasa por 100.000,12.4
2016,,Tasa por 100.000,16.1
2017,Hombres,Tasa por 100.000,21.4
2017,Mujeres,Tasa por 100.000,13.0
2017,,Tasa por 100.000,16.4
2018,Hombres,Tasa por 100.000,19.2
2018,Mujeres,Tasa por 100.000,12.5
2018,,Tasa por 100.000,16.0
2019,Hombres,Tasa por 100.000,24.1
2019,Mujeres,Tasa por 100.000,12.9
2019,,Tasa por 100.000,18.7
2020,Hombres,Tasa por 100.000,21.4
2020,Mujeres,Tasa por 100.000,9.1
2020,,Tasa por 100.000,15.0
2021,Hombres,Tasa por 100.000,20.5
2021,Mujeres,Tasa por 100.000,12.0
2021,,Tasa por 100.000,16.0
2022,Hombres,Tasa por 100.000,21.6
2022,Mujeres,Tasa por 100.000,11.6
2022,,Tasa por 100.000,16.3
2023,Hombres,Tasa por 100.000,19.4
2023,Mujeres,Tasa por 100.000,9.8
2023,,Tasa por 100.000,14.4
2024,Hombres,Tasa por 100.000,22.1
2024,Mujeres,Tasa por 100.000,10.9
2024,,Tasa por 100.000,16.2
