Year,Units,Value
2015,Número Total,7
2016,Número Total,6
2017,Número Total,6
2018,Número Total,6
2019,Número Total,3
2020,Número Total,7
2021,Número Total,7
2022,Número Total,6
2023,Número Total,4
2024,Número Total,9
2025,Número Total,8
