Year,Units,Value
2014,Número Total,1
2015,Número Total,3
2016,Número Total,4
2017,Número Total,4
2018,Número Total,5
2019,Número Total,7
2020,Número Total,8
2021,Número Total,8
2022,Número Total,8
2023,Número Total,8
2024,Número Total,9
2025,Número Total,9
