Year,Units,Value
2015,Kg/habitante/día,1.28
2016,Kg/habitante/día,1.3
2017,Kg/habitante/día,1.3
2018,Kg/habitante/día,1.35
2019,Kg/habitante/día,1.34
2020,Kg/habitante/día,1.19
2021,Kg/habitante/día,1.22
2022,Kg/habitante/día,1.26
2023,Kg/habitante/día,1.23
2024,Kg/habitante/día,1.24
