Year,Units,Value
2015,Número Total,19710.52
2016,Número Total,20767.25
2017,Número Total,21588.6
2018,Número Total,23721.52
2019,Número Total,25792.81
2020,Número Total,27045.39
2021,Número Total,27092.15
2022,Número Total,32099.42
2023,Número Total,42219.83
2024,Número Total,45709.76
