Year,Sexo,Units,Value
2015,,Porcentaje,16.9
2016,,Porcentaje,18.1
2017,,Porcentaje,19.7
2018,,Porcentaje,21.3
2019,,Porcentaje,20.9
2020,,Porcentaje,17.7
2021,,Porcentaje,18.6
2022,,Porcentaje,13.9
2023,,Porcentaje,13.2
2024,,Porcentaje,11.2
2015,Hombres,Porcentaje,16.5
2016,Hombres,Porcentaje,16.5
2017,Hombres,Porcentaje,16.7
2018,Hombres,Porcentaje,20.5
2019,Hombres,Porcentaje,22.2
2020,Hombres,Porcentaje,16.5
2021,Hombres,Porcentaje,15.6
2022,Hombres,Porcentaje,10.3
2023,Hombres,Porcentaje,11.9
2015,Mujeres,Porcentaje,17.3
2016,Mujeres,Porcentaje,20.2
2017,Mujeres,Porcentaje,17.1
2018,Mujeres,Porcentaje,22.0
2019,Mujeres,Porcentaje,19.3
2020,Mujeres,Porcentaje,18.6
2021,Mujeres,Porcentaje,21.1
2022,Mujeres,Porcentaje,17.0
2023,Mujeres,Porcentaje,14.2
