Year,Units,Value
2015,Porcentaje,8.1
2016,Porcentaje,7.8
2017,Porcentaje,7.7
2018,Porcentaje,7.3
2019,Porcentaje,8.6
2020,Porcentaje,7.0
2021,Porcentaje,7.4
2022,Porcentaje,7.4
2023,Porcentaje,7.0
2024,Porcentaje,8.0
2025,Porcentaje,6.5
