Year,Sexo,Distrito,Units,Value
2021-2022,,Gràcia,Porcentaje,95.3
2021-2022,,Horta-Guinardó,Porcentaje,92.0
2021-2022,,Nou Barris,Porcentaje,79.1
2021-2022,,Sant Andreu,Porcentaje,92.0
2021-2022,,Sant Martí,Porcentaje,89.8
2021-2022,,Diferencial,Porcentaje,17.2
2021-2022,Hombres,Barcelona,Porcentaje,89.5
2021-2022,Hombres,Ciutat Vella,Porcentaje,89.8
2021-2022,Hombres,Eixample,Porcentaje,90.5
2021-2022,Hombres,Sants-Montjuïc,Porcentaje,81.9
2021-2022,Hombres,Les Corts,Porcentaje,100.5
2021-2022,Hombres,Sarrià-Sant Gervasi,Porcentaje,93.7
2021-2022,Hombres,Gràcia,Porcentaje,93.6
2021-2022,Hombres,Horta-Guinardó,Porcentaje,89.0
2021-2022,Hombres,Nou Barris,Porcentaje,78.1
2021-2022,Hombres,Sant Andreu,Porcentaje,89.6
2021-2022,Hombres,Sant Martí,Porcentaje,87.3
2021-2022,Hombres,Diferencial,Porcentaje,22.4
2021-2022,Mujeres,Barcelona,Porcentaje,93.0
2021-2022,Mujeres,Ciutat Vella,Porcentaje,94.3
2021-2022,Mujeres,Eixample,Porcentaje,99.2
2021-2022,Mujeres,Sants-Montjuïc,Porcentaje,89.1
2021-2022,Mujeres,Les Corts,Porcentaje,92.2
2021-2022,Mujeres,Sarrià-Sant Gervasi,Porcentaje,94.9
2021-2022,Mujeres,Gràcia,Porcentaje,97.2
2021-2022,Mujeres,Horta-Guinardó,Porcentaje,95.2
2021-2022,Mujeres,Nou Barris,Porcentaje,80.1
2021-2022,Mujeres,Sant Andreu,Porcentaje,94.3
2021-2022,Mujeres,Sant Martí,Porcentaje,92.4
2021-2022,Mujeres,Diferencial,Porcentaje,19.1
2022-2023,,Barcelona,Porcentaje,91.5
2022-2023,,Ciutat Vella,Porcentaje,84.5
2022-2023,,Eixample,Porcentaje,94.8
2022-2023,,Sants-Montjuïc,Porcentaje,84.0
2022-2023,,Les Corts,Porcentaje,94.8
2022-2023,,Sarrià-Sant Gervasi,Porcentaje,94.7
2022-2023,,Gràcia,Porcentaje,96.3
2022-2023,,Horta-Guinardó,Porcentaje,93.2
2022-2023,,Nou Barris,Porcentaje,81.8
2022-2023,,Sant Andreu,Porcentaje,93.3
2022-2023,,Sant Martí,Porcentaje,91.3
2022-2023,,Diferencial,Porcentaje,14.5
2022-2023,Hombres,Barcelona,Porcentaje,90.3
2022-2023,Hombres,Ciutat Vella,Porcentaje,84.6
2022-2023,Hombres,Eixample,Porcentaje,93.5
2022-2023,Hombres,Sants-Montjuïc,Porcentaje,79.3
2022-2023,Hombres,Les Corts,Porcentaje,94.5
2022-2023,Hombres,Sarrià-Sant Gervasi,Porcentaje,95.2
2022-2023,Hombres,Gràcia,Porcentaje,94.7
2022-2023,Hombres,Horta-Guinardó,Porcentaje,93.3
2022-2023,Hombres,Nou Barris,Porcentaje,80.3
2022-2023,Hombres,Sant Andreu,Porcentaje,91.3
