Year,Units,Value
2015,Número Total,506
2016,Número Total,445
2017,Número Total,563
2018,Número Total,658
2019,Número Total,772
2020,Número Total,679
2021,Número Total,804
2022,Número Total,800
2023,Número Total,753
2024,Número Total,1182
2025,Número Total,1020
