Year,Área Geográfica,Units,Value
2015,Barcelona,Número Total,240.0
2015,Área Metropolitana Barcelona,Número Total,227.9
2015,Cataluña,Número Total,183.8
2015,España,Número Total,114.2
2016,Barcelona,Número Total,231.3
2016,Área Metropolitana Barcelona,Número Total,220.9
2016,Cataluña,Número Total,181.1
2016,España,Número Total,119.9
2017,Barcelona,Número Total,206.1
2017,Área Metropolitana Barcelona,Número Total,182.1
2017,Cataluña,Número Total,159.0
2017,España,Número Total,110.6
2018,Barcelona,Número Total,174.4
2018,Área Metropolitana Barcelona,Número Total,179.4
2018,Cataluña,Número Total,154.0
2018,España,Número Total,108.7
2019,Barcelona,Número Total,170.9
2019,Área Metropolitana Barcelona,Número Total,178.2
2019,Cataluña,Número Total,157.3
2019,España,Número Total,109.6
2020,Barcelona,Número Total,199.0
2020,Área Metropolitana Barcelona,Número Total,180.1
2020,Cataluña,Número Total,160.4
2020,España,Número Total,120.3
2021,Barcelona,Número Total,185.3
2021,Área Metropolitana Barcelona,Número Total,154.2
2021,Cataluña,Número Total,136.3
2021,España,Número Total,109.3
