Year,Units,Value
2015,Mitjana de dies,33.0
2016,Mitjana de dies,32.7
2017,Mitjana de dies,30.1
2018,Mitjana de dies,29.3
2019,Mitjana de dies,31.1
2020,Mitjana de dies,22.6
2021,Mitjana de dies,20.9
2022,Mitjana de dies,21.6
2023,Mitjana de dies,24.0
2024,Mitjana de dies,25.9
2025,Mitjana de dies,24.7
