Year,Sexo,Units,Value
2017,Hombres,Porcentaje,74.4
2017,Mujeres,Porcentaje,69.2
2017,,Porcentaje,71.6
2022,Hombres,Porcentaje,69.0
2022,Mujeres,Porcentaje,64.2
2022,,Porcentaje,66.4
