Year,Sexe,Units,Value
26/02/2020-12/10/2020,Homes,Nombre Total,2185
26/02/2020-12/10/2020,Dones,Nombre Total,2305
26/02/2020-12/10/2020,,Nombre Total,2248
21/12/2020-30/09/2021,Homes,Nombre Total,7665
21/12/2020-30/09/2021,Dones,Nombre Total,7343
21/12/2020-30/09/2021,,Nombre Total,7481
