Year,Value,Units
2015,10.8,Difference between positive and negative responses
2016,15.5,Difference between positive and negative responses
2017,17.6,Difference between positive and negative responses
2018,25.9,Difference between positive and negative responses
2019,18.7,Difference between positive and negative responses
2020,9.7,Difference between positive and negative responses
2021,12.4,Difference between positive and negative responses
2022,10.7,Difference between positive and negative responses
