Year,Gender,Units,Value
2015,,Total Number,199
2015,Men,Total Number,135
2015,Women,Total Number,64
2016,,Total Number,192
2016,Men,Total Number,131
2016,Women,Total Number,61
2017,,Total Number,230
2017,Men,Total Number,150
2017,Women,Total Number,80
2018,,Total Number,236
2018,Men,Total Number,155
2018,Women,Total Number,81
2019,,Total Number,202
2019,Men,Total Number,143
2019,Women,Total Number,59
2020,,Total Number,141
2020,Men,Total Number,98
2020,Women,Total Number,43
2021,,Total Number,166
2021,Men,Total Number,111
2021,Women,Total Number,55
2022,,Total Number,173
2022,Men,Total Number,113
2022,Women,Total Number,60
2023,,Total Number,225
2023,Men,Total Number,147
2023,Women,Total Number,78
2024,,Total Number,244
2024,Men,Total Number,149
2024,Women,Total Number,95
2025,,Total Number,246
