Year,Units,Value
2015,Total Number,20349.08
2016,Total Number,21328.04
2017,Total Number,22246.80
2018,Total Number,24420.38
2019,Total Number,26401.09
2020,Total Number,27695.55
2021,Total Number,27811.05
2022,Total Number,33136.69
2023,Total Number,42849.82
2024,Total Number,46407.18
2025,Total Number,48405.43
