Year,Units,Value
2015,Total Number,13
2016,Total Number,5
2017,Total Number,5
2018,Total Number,8
2019,Total Number,4
2020,Total Number,4
2021,Total Number,11
2022,Total Number,8
2023,Total Number,11
2024,Total Number,9
