Year,Gender,Units,Value
2015,,Percentage,10.8
2015,Men,Percentage,12.9
2015,Women,Percentage,8.7
2016,,Percentage,8.5
2016,Men,Percentage,9.3
2016,Women,Percentage,7.7
2017,,Percentage,9.5
2017,Men,Percentage,10.8
2017,Women,Percentage,8.1
2018,,Percentage,9.7
2018,Men,Percentage,10.2
2018,Women,Percentage,9.3
2019,,Percentage,8.2
2019,Men,Percentage,9.5
2019,Women,Percentage,6.9
2020,,Percentage,7.7
2020,Men,Percentage,7.5
2020,Women,Percentage,7.8
2021,,Percentage,5.5
2021,Men,Percentage,6.2
2021,Women,Percentage,4.8
2022,,Percentage,7.7
2022,Men,Percentage,9.3
2022,Women,Percentage,6.1
2023,,Percentage,6.8
2023,Men,Percentage,7.4
2023,Women,Percentage,6.2
2024,,Percentage,7.7
2024,Men,Percentage,8.4
2024,Women,Percentage,6.9
2025,,Percentage,7.1
2025,Men,Percentage,9.7
2025,Women,Percentage,4.5
