Year,Gender,Units,Value
2015,,Percentage,60.3
2016,,Percentage,60.7
2017,,Percentage,61.4
2018,,Percentage,61.8
2019,,Percentage,62.1
2020,,Percentage,61.3
2020,Men,Percentage,54.9
2020,Women,Percentage,68.0
2021,,Percentage,62.3
2021,Men,Percentage,55.7
2021,Women,Percentage,69.0
2022,,Percentage,61.7
2022,Men,Percentage,54.9
2022,Women,Percentage,68.6
2023,,Percentage,64.4
2023,Men,Percentage,57.5
2023,Women,Percentage,71.4
2024,,Percentage,63.6
2024,Men,Percentage,57.0
2024,Women,Percentage,70.5
2025,,Percentage,63.0
2025,Men,Percentage,56.7
2025,Women,Percentage,69.8
