Year,Units,Value
2016-2017,Ratio 80/20,6.0
2017-2018,Ratio 80/20,6.2
2018-2019,Ratio 80/20,6.2
2019-2020,Ratio 80/20,5.7
2020-2021,Ratio 80/20,6.1
2021-2022,Ratio 80/20,6.0
2022-2023,Ratio 80/20,5.8
2024-2025,Ratio 80/20,5.1
