Year,Units,Value
2015,Rate per 100.000,44.7
2016,Rate per 100.000,31.5
2017,Rate per 100.000,37.7
2018,Rate per 100.000,44.3
2019,Rate per 100.000,43.4
2020,Rate per 100.000,37.3
2021,Rate per 100.000,34.0
2022,Rate per 100.000,47.7
