Year,Units,Value
2015,Index (0-100),67.5
2017,Index (0-100),70.3
2018,Index (0-100),72.3
2019,Index (0-100),73.0
2020,Index (0-100),74.1
2021,Index (0-100),76.5
2022,Index (0-100),76.7
