Year,Units,Value
2015,Percentatge,8.1
2016,Percentatge,7.8
2017,Percentatge,7.7
2018,Percentatge,7.3
2019,Percentatge,8.6
2020,Percentatge,7.0
2021,Percentatge,7.4
2022,Percentatge,7.4
2023,Percentatge,7.0
2024,Percentatge,8.0
2025,Percentatge,6.5
