Year,Units,Value
2014,Nombre Total,1
2015,Nombre Total,3
2016,Nombre Total,4
2017,Nombre Total,4
2018,Nombre Total,5
2019,Nombre Total,7
2020,Nombre Total,8
2021,Nombre Total,8
2022,Nombre Total,8
2023,Nombre Total,8
2024,Nombre Total,9
2025,Nombre Total,9
