Year,Units,Value
2015,Euros per nit,54.1
2016,Euros per nit,
2017,Euros per nit,56.1
2018,Euros per nit,55.5
2019,Euros per nit,59.5
2020,Euros per nit,35.1
2021,Euros per nit,46.2
2022,Euros per nit,68.5
2023,Euros per nit,84.2
2024,Euros per nit,92.2
2025,Euros per nit,88.2
2015,Euros per estada total,78.4
2016,Euros per estada total,
2017,Euros per estada total,79.4
2018,Euros per estada total,79.6
2019,Euros per estada total,82.3
2020,Euros per estada total,69.2
2021,Euros per estada total,71.9
2022,Euros per estada total,84.4
2023,Euros per estada total,91.7
2024,Euros per estada total,99.7
2025,Euros per estada total,106.3
