Year,Sexe,Units,Value
2015,,Percentatge,10.8
2015,Homes,Percentatge,12.9
2015,Dones,Percentatge,8.7
2016,,Percentatge,8.5
2016,Homes,Percentatge,9.3
2016,Dones,Percentatge,7.7
2017,,Percentatge,9.5
2017,Homes,Percentatge,10.8
2017,Dones,Percentatge,8.1
2018,,Percentatge,9.7
2018,Homes,Percentatge,10.2
2018,Dones,Percentatge,9.3
2019,,Percentatge,8.2
2019,Homes,Percentatge,9.5
2019,Dones,Percentatge,6.9
2020,,Percentatge,7.7
2020,Homes,Percentatge,7.5
2020,Dones,Percentatge,7.8
2021,,Percentatge,5.5
2021,Homes,Percentatge,6.2
2021,Dones,Percentatge,4.8
2022,,Percentatge,7.7
2022,Homes,Percentatge,9.3
2022,Dones,Percentatge,6.1
2023,,Percentatge,6.8
2023,Homes,Percentatge,7.4
2023,Dones,Percentatge,6.2
2024,,Percentatge,7.7
2024,Homes,Percentatge,8.4
2024,Dones,Percentatge,6.9
2025,,Percentatge,7.1
2025,Homes,Percentatge,9.7
2025,Dones,Percentatge,4.5
