Year,Sexe,Units,Value
2015,,Percentatge,16.9
2016,,Percentatge,18.1
2017,,Percentatge,19.7
2018,,Percentatge,21.3
2019,,Percentatge,20.9
2020,,Percentatge,17.7
2021,,Percentatge,18.6
2022,,Percentatge,13.9
2023,,Percentatge,13.2
2024,,Percentatge,11.6
2025,,Percentatge,11.1
2015,Homes,Percentatge,16.5
2016,Homes,Percentatge,16.5
2017,Homes,Percentatge,16.7
2018,Homes,Percentatge,20.5
2019,Homes,Percentatge,22.2
2020,Homes,Percentatge,16.5
2021,Homes,Percentatge,15.6
2022,Homes,Percentatge,10.3
2023,Homes,Percentatge,11.9
2024,Homes,Percentatge,10.1
2025,Homes,Percentatge,10.1
2015,Dones,Percentatge,17.3
2016,Dones,Percentatge,20.2
2017,Dones,Percentatge,17.1
2018,Dones,Percentatge,22.0
2019,Dones,Percentatge,19.3
2020,Dones,Percentatge,18.6
2021,Dones,Percentatge,21.1
2022,Dones,Percentatge,17.0
2023,Dones,Percentatge,14.3
2024,Dones,Percentatge,13.3
2025,Dones,Percentatge,12.1
