Year,Units,Value
2015,Nombre Total,458
2016,Nombre Total,503
2017,Nombre Total,640
2018,Nombre Total,774
2019,Nombre Total,969
2020,Nombre Total,1144
2021,Nombre Total,1334
2022,Nombre Total,1422
2023,Nombre Total,1521
2024,Nombre Total,1974
