Year,Value,Units
2015,83.7,Porcentaje
2016,85.5,Porcentaje
2017,85.7,Porcentaje
2018,87.7,Porcentaje
2019,88.5,Porcentaje
2020,84.0,Porcentaje
2021,85.4,Porcentaje
