Year,Units,Value
2015,Total number,7
2016,Total number,6
2017,Total number,6
2018,Total number,6
2019,Total number,3
2020,Total number,7
2021,Total number,7
2022,Total number,6
2023,Total number,4
2024,Total number,9
2025,Total number,8
