Year,Units,Value
2015,Total Number,170328
2016,Total Number,169984
2017,Total Number,181436
2018,Total Number,211376
2019,Total Number,214978
2020,Total Number,120262
2021,Total Number,133579
2022,Total Number,176493
2023,Total Number,189249
2024,Total Number,180099
2025,Total Number,169082
