Year,Units,Value
2015,Milion cubic meter,5.61
2016,Milion cubic meter,5.87
2017,Milion cubic meter,5.81
2018,Milion cubic meter,5.68
2019,Milion cubic meter,5.52
2020,Milion cubic meter,4.99
2021,Milion cubic meter,5.28
2022,Milion cubic meter,5.74
2023,Milion cubic meter,3.88
2024,Milion cubic meter,3.29
2025,Milion cubic meter,4.44
