Year,Units,Value
2015,Total Number,458
2016,Total Number,503
2017,Total Number,640
2018,Total Number,774
2019,Total Number,969
2020,Total Number,1144
2021,Total Number,1334
2022,Total Number,1422
2023,Total Number,1521
2024,Total Number,1974
2025,Total Number,1037
