Year,Units,Value
2016,Percentage,32.4
2017,Percentage,32.3
2018,Percentage,33.4
2019,Percentage,37.4
2020,Percentage,52.8
2021,Percentage,53.4
2022,Percentage,56.1
2023,Percentage,53.4
2024,Percentage,54.7
2025,Percentage,58.7
