Year,Units,Value
2016,Total Number,63
2017,Total Number,499
2018,Total Number,299
2019,Total Number,357
2020,Total Number,386
2021,Total Number,376
2022,Total Number,362
2023,Total Number,735
2024,Total Number,569
2025,Total Number,739
