Year,Units,Value
2015,Percentage,16.2
2016,Percentage,20.7
2017,Percentage,16.5
2018,Percentage,21.2
2019,Percentage,16.7
2020,Percentage,20.2
2021,Percentage,18.3
2022,Percentage,15.9
2023,Percentage,16.5
