Year,Units,Value
2015,Nombre Total,331055
2016,Nombre Total,358747
2017,Nombre Total,348012
2018,Nombre Total,347975
2019,Nombre Total,348238
2020,Nombre Total,188195
2021,Nombre Total,274265
2022,Nombre Total,338872
2023,Nombre Total,340333
2024,Nombre Total,358459
