Year,Value,Units
2015,36,Número Total
2016,37,Número Total
2017,34,Número Total
2018,28,Número Total
2019,28,Número Total
2020,25,Número Total
2021,26,Número Total
2022,25,Número Total
2023,23,Número Total
2024,23,Número Total
2025,22,Número Total
