Year,Value,Units
2015,11,Número Total
2016,11,Número Total
2017,28,Número Total
2018,10,Número Total
2019,18,Número Total
2020,13,Número Total
2021,9,Número Total
2022,11,Número Total
2023,12,Número Total
2024,11,Número Total
2025,15,Número Total
