Year,Value,Units
2015,7,Número Total
2016,6,Número Total
2017,6,Número Total
2018,6,Número Total
2019,3,Número Total
2020,7,Número Total
2021,7,Número Total
2022,6,Número Total
2023,4,Número Total
2024,9,Número Total
2025,8,Número Total
