Year,Value,Units
2015,27,Número Total
2016,28,Número Total
2017,12,Número Total
2018,21,Número Total
2019,22,Número Total
2020,14,Número Total
2021,12,Número Total
2022,23,Número Total
2023,20,Número Total
2024,11,Número Total
2025,11,Número Total
