Year,Value,Units
2015,179,Número Total
2016,224,Número Total
2017,235,Número Total
2018,323,Número Total
2019,382,Número Total
2020,359,Número Total
2021,413,Número Total
2022,682,Número Total
2023,758,Número Total
2024,857,Número Total
