Year,Value,Units
2015,20349.08,Número Total
2016,21328.04,Número Total
2017,22246.8,Número Total
2018,24420.38,Número Total
2019,26401.09,Número Total
2020,27695.55,Número Total
2021,27811.05,Número Total
2022,33136.69,Número Total
2023,42849.82,Número Total
2024,46407.18,Número Total
2025,48405.43,Número Total
