Year,Value,Units
2015,8.1,Porcentaje
2016,7.8,Porcentaje
2017,7.7,Porcentaje
2018,7.3,Porcentaje
2019,8.6,Porcentaje
2020,7.0,Porcentaje
2021,7.4,Porcentaje
2022,7.4,Porcentaje
2023,7.0,Porcentaje
2024,8.0,Porcentaje
2025,6.5,Porcentaje
