Year,Value,Units
2015,458,Número Total
2016,503,Número Total
2017,640,Número Total
2018,774,Número Total
2019,969,Número Total
2020,1144,Número Total
2021,1334,Número Total
2022,1422,Número Total
2023,1521,Número Total
2024,1974,Número Total
2025,1037,Número Total
