Year,Value,Units
2014,1,Número Total
2015,8,Número Total
2016,12,Número Total
2017,13,Número Total
2018,15,Número Total
2019,23,Número Total
2020,33,Número Total
2021,41,Número Total
2022,63,Número Total
2023,88,Número Total
2024,92,Número Total
2025,111,Número Total
