Year,Value,Units
2015,82.2,Porcentaje
2016,84.5,Porcentaje
2017,85.8,Porcentaje
2018,90.7,Porcentaje
2019,92.1,Porcentaje
2020,90.8,Porcentaje
2021,92.4,Porcentaje
2022,93.5,Porcentaje
2023,94.0,Porcentaje
2024,94.5,Porcentaje
2025,95.2,Porcentaje
