Year,Value,Units
2015,3098,Número Total
2016,2691,Número Total
2017,2519,Número Total
2018,2381,Número Total
2019,2125,Número Total
2020,1028,Número Total
2021,1755,Número Total
2022,1531,Número Total
2023,1255,Número Total
2024,1331,Número Total
2025,1373,Número Total
