Year,Value,Units
2015,13,Número Total
2016,5,Número Total
2017,5,Número Total
2018,8,Número Total
2019,4,Número Total
2020,4,Número Total
2021,11,Número Total
2022,8,Número Total
2023,11,Número Total
2024,9,Número Total
