Year,Value,Units
2015,331055,Número Total
2016,358747,Número Total
2017,348012,Número Total
2018,347975,Número Total
2019,348238,Número Total
2020,188195,Número Total
2021,274265,Número Total
2022,338872,Número Total
2023,340333,Número Total
2024,358459,Número Total
