Year,Value,Units
2015-2016,48.4,Porcentaje
2016-2017,49.7,Porcentaje
2017-2018,49.9,Porcentaje
2018-2019,50.3,Porcentaje
2019-2020,50.9,Porcentaje
2020-2021,44.7,Porcentaje
2021-2022,50.8,Porcentaje
2022-2023,57.3,Porcentaje
2023-2024,50.6,Porcentaje
2024-2025,51.9,Porcentaje
2025-2026,54.3,Porcentaje
