Year,Sexe,Units,Value
2015,,Percentatge,47.7
2016,,Percentatge,49.6
2017,,Percentatge,51.2
2018,,Percentatge,52.5
2019,,Percentatge,53.3
2020,,Percentatge,53.8
2020,Homes,Percentatge,47.0
2020,Dones,Percentatge,60.8
2021,,Percentatge,55.1
2021,Homes,Percentatge,48.3
2021,Dones,Percentatge,61.9
2022,,Percentatge,55.9
2022,Homes,Percentatge,49.2
2022,Dones,Percentatge,62.6
2023,,Percentatge,56.3
2023,Homes,Percentatge,49.4
2023,Dones,Percentatge,63.2
2024,,Percentatge,56.2
2024,Homes,Percentatge,48.9
2024,Dones,Percentatge,63.7
2025,,Percentatge,55.9
2025,Homes,Percentatge,48.5
2025,Dones,Percentatge,63.6
