Year,Value,Units
2016,15.2,Percentage
2017,15.4,Percentage
2018,14.7,Percentage
2019,16.5,Percentage
2020,14.4,Percentage
2021,14.9,Percentage
2022,18.9,Percentage
2023,19.4,Percentage
2024,19.3,Percentage
2025,17.8,Percentage
2026,12.6,Percentage
