Year,Value,Units
2015,3098,Total Number
2016,2691,Total Number
2017,2519,Total Number
2018,2381,Total Number
2019,2125,Total Number
2020,1028,Total Number
2021,1755,Total Number
2022,1531,Total Number
2023,1255,Total Number
2024,1331,Total Number
2025,1373,Total Number
