Year,Value,Units
2015,38.03,Kg per 1.000 euros of GVA
2016,32.43,Kg per 1.000 euros of GVA
2017,32.6,Kg per 1.000 euros of GVA
2018,34.96,Kg per 1.000 euros of GVA
2019,31.8,Kg per 1.000 euros of GVA
2020,33.29,Kg per 1.000 euros of GVA
2021,32.76,Kg per 1.000 euros of GVA
2022,30.24,Kg per 1.000 euros of GVA
2023,32.31,Kg per 1.000 euros of GVA
2024,30.24,Kg per 1.000 euros of GVA
