Year,Value,Units
2015,24.4,Rate per 100.000
2016,21.3,Rate per 100.000
2017,22.9,Rate per 100.000
2018,20.2,Rate per 100.000
2019,16.1,Rate per 100.000
2020,14.4,Rate per 100.000
2021,10.2,Rate per 100.000
2022,14.6,Rate per 100.000
2023,11.5,Rate per 100.000
2024,10.8,Rate per 100.000
