Year,Value,Units
2015,11,Total Number
2016,11,Total Number
2017,28,Total Number
2018,10,Total Number
2019,18,Total Number
2020,13,Total Number
2021,9,Total Number
2022,11,Total Number
2023,12,Total Number
2024,11,Total Number
2025,15,Total Number
