Year,Value,Units
2015,458,Total Number
2016,503,Total Number
2017,640,Total Number
2018,774,Total Number
2019,969,Total Number
2020,1144,Total Number
2021,1334,Total Number
2022,1422,Total Number
2023,1521,Total Number
2024,1974,Total Number
