Year,Value,Units
2014,1,Total Number
2015,3,Total Number
2016,4,Total Number
2017,4,Total Number
2018,5,Total Number
2019,7,Total Number
2020,8,Total Number
2021,8,Total Number
2022,8,Total Number
2023,8,Total Number
2024,9,Total Number
2025,9,Total Number
