Year,Value,Units
2015,16.2,Percentage
2016,20.7,Percentage
2017,16.5,Percentage
2018,21.2,Percentage
2019,16.7,Percentage
2020,20.2,Percentage
2021,18.3,Percentage
2022,15.9,Percentage
2023,16.5,Percentage
