Year,Value,Units
2015,10.8,Percentage
2016,8.5,Percentage
2017,9.5,Percentage
2018,9.7,Percentage
2019,8.2,Percentage
2020,7.7,Percentage
2021,5.5,Percentage
2022,7.7,Percentage
2023,6.8,Percentage
2024,7.7,Percentage
2025,7.1,Percentage
