Year,Value,Units
2016-2017,23.1,Percentage
2017-2018,23.6,Percentage
2018-2019,22.4,Percentage
2019-2020,22.4,Percentage
2020-2021,25.3,Percentage
2021-2022,23.6,Percentage
2022-2023,25.2,Percentage
2024-2025,21.1,Percentage
