Year,Value,Units
2015,8.1,Percentage
2016,7.8,Percentage
2017,7.7,Percentage
2018,7.3,Percentage
2019,8.6,Percentage
2020,7.0,Percentage
2021,7.4,Percentage
2022,7.4,Percentage
2023,7.0,Percentage
2024,8.0,Percentage
2025,6.5,Percentage
